"constituency","Party","election","Classification","Median_Age","Total_Rural_Population","Total_Urban_Population","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked_Unemployed","Never_Worked","Long_Term_Unemployed","Total_Students_Count","yearly_avg_tavg","yearly_avg_tmin","yearly_avg_tmax","yearly_avg_prcp","yearly_avg_wspd","yearly_avg_pres","yearly_avg_tsun","Election","country.region","con_share","lib_share","lab_share","oth_share","environment","Flood Alert","Flood Warning","Update Flood Alert","Update Flood Warning","Severe Flood Warning","Update Severe Flood Warning","Flood Watch"
"arundel and south downs"," Labour Party","2015","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2015 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," Green Party","2015","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2015 General Election",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," UK Independence Party","2015","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2015 General Election",NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
"arundel and south downs"," Green Party","2017","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2017 General Election",NA,NA,NA,NA,NA,11,15192,138,2294,0,0,0,0
"arundel and south downs"," UK Independence Party","2017","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2017 General Election",NA,NA,NA,NA,NA,0,15192,138,2294,0,0,0,0
"arundel and south downs"," Conservative Party","2019","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2019 General Election",NA,NA,NA,NA,NA,2,136944,16236,47008,5064,0,0,0
"arundel and south downs"," Liberal Democrats","2019","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2019 General Election",NA,NA,NA,NA,NA,3,136944,16236,47008,5064,0,0,0
"arundel and south downs"," Labour Party","2019","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2019 General Election",NA,NA,NA,NA,NA,2,136944,16236,47008,5064,0,0,0
"arundel and south downs"," Green Party","2019","Predominantly Rural",47,77072,20195,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,1704,10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,"2019 General Election",NA,NA,NA,NA,NA,5,136944,16236,47008,5064,0,0,0
"ashfield"," Conservative Party","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,0,NA,NA,NA,NA,NA,NA,NA
"ashfield"," Liberal Democrats","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,3,NA,NA,NA,NA,NA,NA,NA
"ashfield"," Liberal Democrats","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,2,NA,NA,NA,NA,NA,NA,NA
"ashfield"," UK Independence Party","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,0,NA,NA,NA,NA,NA,NA,NA
"ashfield"," UK Independence Party","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,1,NA,NA,NA,NA,NA,NA,NA
"ashfield"," Labour Party","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,4,NA,NA,NA,NA,NA,NA,NA
"ashfield"," Labour Party","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,0,NA,NA,NA,NA,NA,NA,NA
"ashfield"," Liberal Democrats","2015","Predominantly Urban",41,905,101009,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,1953,10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,"2015 General Election","East Midlands",0.224,0.148,0.41,0.217,13,NA,NA,NA,NA,NA,NA,NA
"ashford"," Liberal Democrats","2010","Urban with Significant Rural",40,38207,74733,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,2444,10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,"2010 General Election","South East",0.541,0.228,0.167,0.064,1,NA,NA,NA,NA,NA,NA,NA
"ashford"," Green Party","2015","Urban with Significant Rural",40,38207,74733,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,2444,10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,"2015 General Election","South East",0.525,0.06,0.184,0.231,15,NA,NA,NA,NA,NA,NA,NA
"ashford"," Green Party","2015","Urban with Significant Rural",40,38207,74733,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,2444,10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,"2015 General Election","South East",0.525,0.06,0.184,0.231,20,NA,NA,NA,NA,NA,NA,NA
"ashford"," Liberal Democrats","2017","Urban with Significant Rural",40,38207,74733,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,2444,10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,"2017 General Election","South East",0.59,0.052,0.298,0.06,0,13386,138,2208,0,0,0,0
"ashford"," Labour Party","2017","Urban with Significant Rural",40,38207,74733,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,2444,10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,"2017 General Election","South East",0.59,0.052,0.298,0.06,2,13386,138,2208,0,0,0,0
"banbury"," Green Party","2010","Urban with Significant Rural",38,35431,82497,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,2403,10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,"2010 General Election","South East",0.528,0.204,0.192,0.076,8,110,0,0,0,0,0,4730
"banbury"," Conservative Party","2010","Urban with Significant Rural",38,35431,82497,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,2403,10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,"2010 General Election","South East",0.528,0.204,0.192,0.076,0,110,0,0,0,0,0,4730
"banbury"," Conservative Party","2017","Urban with Significant Rural",38,35431,82497,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,2403,10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,"2017 General Election","South East",0.542,0.056,0.341,0.061,1,76208,5238,2414,498,0,0,0
"banbury"," Labour Party","2017","Urban with Significant Rural",38,35431,82497,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,2403,10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,"2017 General Election","South East",0.542,0.056,0.341,0.061,0,76208,5238,2414,498,0,0,0
"barking"," Labour Party","2010","Predominantly Urban",31,0,122313,4261,12607,10311,7865,5560,13029,10096,10156,7541,2615,7042,10.2428571428571,6.7,13.7142857142857,NA,14.075,1015.35,NA,"2010 General Election","London",0.178,0.082,0.543,0.197,0,NA,NA,NA,NA,NA,NA,NA
"barking"," Conservative Party","2010","Predominantly Urban",31,0,122313,4261,12607,10311,7865,5560,13029,10096,10156,7541,2615,7042,10.2428571428571,6.7,13.7142857142857,NA,14.075,1015.35,NA,"2010 General Election","London",0.178,0.082,0.543,0.197,0,NA,NA,NA,NA,NA,NA,NA
"beckenham"," Conservative Party","2010","Predominantly Urban",42,134,86877,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,2194,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election","London",0.579,0.206,0.145,0.071,0,NA,NA,NA,NA,NA,NA,NA
"beckenham"," Labour Party","2010","Predominantly Urban",42,134,86877,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,2194,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election","London",0.579,0.206,0.145,0.071,0,NA,NA,NA,NA,NA,NA,NA
"beckenham"," Liberal Democrats","2010","Predominantly Urban",42,134,86877,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,2194,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election","London",0.579,0.206,0.145,0.071,0,NA,NA,NA,NA,NA,NA,NA
"beckenham"," UK Independence Party","2010","Predominantly Urban",42,134,86877,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,2194,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election","London",0.579,0.206,0.145,0.071,0,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Liberal Democrats","2010","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Labour Party","2010","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Liberal Democrats","2010","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Conservative Party","2010","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Labour Party","2010","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Liberal Democrats","2010","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2010 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Conservative Party","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Labour Party","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Liberal Democrats","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," UK Independence Party","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Green Party","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Conservative Party","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Labour Party","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Liberal Democrats","2015","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2015 General Election",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"bermondsey and old southwark"," Labour Party","2017","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2017 General Election",NA,NA,NA,NA,NA,0,80157,483,9912,0,0,0,0
"bermondsey and old southwark"," Liberal Democrats","2017","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2017 General Election",NA,NA,NA,NA,NA,3,80157,483,9912,0,0,0,0
"bermondsey and old southwark"," Liberal Democrats","2017","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2017 General Election",NA,NA,NA,NA,NA,0,80157,483,9912,0,0,0,0
"bermondsey and old southwark"," Labour Party","2017","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2017 General Election",NA,NA,NA,NA,NA,3,80157,483,9912,0,0,0,0
"bermondsey and old southwark"," Liberal Democrats","2017","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2017 General Election",NA,NA,NA,NA,NA,1,80157,483,9912,0,0,0,0
"bermondsey and old southwark"," Green Party","2017","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2017 General Election",NA,NA,NA,NA,NA,20,80157,483,9912,0,0,0,0
"bermondsey and old southwark"," Conservative Party","2017","Predominantly Urban",30,0,126522,17157,23135,9674,6282,5102,9447,7597,7594,5310,2284,15162,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,"2017 General Election",NA,NA,NA,NA,NA,0,80157,483,9912,0,0,0,0
"bexhill and battle"," Liberal Democrats","2010","Predominantly Rural",48,54479,46248,7150,16339,9641,10792,4348,9563,5398,2620,1775,845,1812,10.3333333333333,6.9,13.5333333333333,48.6666666666667,16.1,1013.975,9480,"2010 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"bexhill and battle"," Liberal Democrats","2010","Predominantly Rural",48,54479,46248,7150,16339,9641,10792,4348,9563,5398,2620,1775,845,1812,10.3333333333333,6.9,13.5333333333333,48.6666666666667,16.1,1013.975,9480,"2010 General Election",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"bexhill and battle"," Liberal Democrats","2010","Predominantly Rural",48,54479,46248,7150,16339,9641,10792,4348,9563,5398,2620,1775,845,1812,10.3333333333333,6.9,13.5333333333333,48.6666666666667,16.1,1013.975,9480,"2010 General Election",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"bexhill and battle"," Conservative Party","2010","Predominantly Rural",48,54479,46248,7150,16339,9641,10792,4348,9563,5398,2620,1775,845,1812,10.3333333333333,6.9,13.5333333333333,48.6666666666667,16.1,1013.975,9480,"2010 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"bexhill and battle"," Conservative Party","2010","Predominantly Rural",48,54479,46248,7150,16339,9641,10792,4348,9563,5398,2620,1775,845,1812,10.3333333333333,6.9,13.5333333333333,48.6666666666667,16.1,1013.975,9480,"2010 General Election",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"bexhill and battle"," Labour Party","2010","Predominantly Rural",48,54479,46248,7150,16339,9641,10792,4348,9563,5398,2620,1775,845,1812,10.3333333333333,6.9,13.5333333333333,48.6666666666667,16.1,1013.975,9480,"2010 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"bexhill and battle"," Conservative Party","2017","Predominantly Rural",48,54479,46248,7150,16339,9641,10792,4348,9563,5398,2620,1775,845,1812,10.3333333333333,6.9,13.5333333333333,48.6666666666667,16.1,1013.975,9480,"2017 General Election",NA,NA,NA,NA,NA,1,6693,69,1104,0,0,0,0
"altrincham and sale west"," Conservative Party","2010","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2010 General Election",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"altrincham and sale west"," Liberal Democrats","2010","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2010 General Election",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"altrincham and sale west"," Labour Party","2010","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2010 General Election",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"altrincham and sale west"," Conservative Party","2017","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2017 General Election",NA,NA,NA,NA,NA,1,1587,1035,138,0,0,0,0
"altrincham and sale west"," Liberal Democrats","2019","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2019 General Election",NA,NA,NA,NA,NA,0,35604,25944,22080,4416,276,552,0
"altrincham and sale west"," Liberal Democrats","2019","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2019 General Election",NA,NA,NA,NA,NA,1,35604,25944,22080,4416,276,552,0
"altrincham and sale west"," Labour Party","2019","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2019 General Election",NA,NA,NA,NA,NA,8,35604,25944,22080,4416,276,552,0
"altrincham and sale west"," Labour Party","2019","Predominantly Urban",41,824,95767,12971,18063,9736,6495,3446,7027,4218,2299,1485,814,2382,9.24166666666667,5.50833333333333,12.95,51.6666666666667,13.98,1013.025,6970,"2019 General Election",NA,NA,NA,NA,NA,1,35604,25944,22080,4416,276,552,0
"amber valley"," Labour Party","2010","Predominantly Urban",42,15483,72400,4904,11692,7595,5980,6262,11247,11395,2889,1735,1154,1635,9.76666666666667,6.325,13.1083333333333,48.0833333333333,18.1222222222222,1012.9,7885,"2010 General Election","East Midlands",0.386,0.144,0.374,0.095,0,NA,NA,NA,NA,NA,NA,NA
"amber valley"," Conservative Party","2010","Predominantly Urban",42,15483,72400,4904,11692,7595,5980,6262,11247,11395,2889,1735,1154,1635,9.76666666666667,6.325,13.1083333333333,48.0833333333333,18.1222222222222,1012.9,7885,"2010 General Election","East Midlands",0.386,0.144,0.374,0.095,0,NA,NA,NA,NA,NA,NA,NA
"amber valley"," Labour Party","2010","Predominantly Urban",42,15483,72400,4904,11692,7595,5980,6262,11247,11395,2889,1735,1154,1635,9.76666666666667,6.325,13.1083333333333,48.0833333333333,18.1222222222222,1012.9,7885,"2010 General Election","East Midlands",0.386,0.144,0.374,0.095,2,NA,NA,NA,NA,NA,NA,NA
"amber valley"," Labour Party","2019","Predominantly Urban",42,15483,72400,4904,11692,7595,5980,6262,11247,11395,2889,1735,1154,1635,9.76666666666667,6.325,13.1083333333333,48.0833333333333,18.1222222222222,1012.9,7885,"2019 General Election","East Midlands",0.639,0.063,0.268,0.03,5,93024,40584,2964,912,0,0,0
"amber valley"," Labour Party","2019","Predominantly Urban",42,15483,72400,4904,11692,7595,5980,6262,11247,11395,2889,1735,1154,1635,9.76666666666667,6.325,13.1083333333333,48.0833333333333,18.1222222222222,1012.9,7885,"2019 General Election","East Midlands",0.639,0.063,0.268,0.03,0,93024,40584,2964,912,0,0,0
"amber valley"," Labour Party","2019","Predominantly Urban",42,15483,72400,4904,11692,7595,5980,6262,11247,11395,2889,1735,1154,1635,9.76666666666667,6.325,13.1083333333333,48.0833333333333,18.1222222222222,1012.9,7885,"2019 General Election","East Midlands",0.639,0.063,0.268,0.03,3,93024,40584,2964,912,0,0,0
