Election,Party,environment,constituency,Election Date,Year Before Election,yearly_avg_tavg,yearly_avg_tmin,yearly_avg_tmax,yearly_avg_prcp,yearly_avg_wspd,yearly_avg_pres,yearly_avg_tsun
2019 General Election, Liberal Democrats,0,altrincham and sale west,2019-12-12,2018-12-12,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
2019 General Election, Liberal Democrats,1,altrincham and sale west,2019-12-12,2018-12-12,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
2019 General Election, Labour Party,8,altrincham and sale west,2019-12-12,2018-12-12,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
2019 General Election, Labour Party,1,altrincham and sale west,2019-12-12,2018-12-12,9.241666666666667,5.508333333333334,12.950000000000001,51.666666666666664,13.979999999999997,1013.025,6970.0
2010 General Election, Labour Party,0,amber valley,2010-05-06,2009-05-06,9.766666666666667,6.324999999999999,13.108333333333333,48.083333333333336,18.122222222222227,1012.8999999999999,7885.0
2010 General Election, Conservative Party,0,amber valley,2010-05-06,2009-05-06,9.766666666666667,6.324999999999999,13.108333333333333,48.083333333333336,18.122222222222227,1012.8999999999999,7885.0
2010 General Election, Labour Party,2,amber valley,2010-05-06,2009-05-06,9.766666666666667,6.324999999999999,13.108333333333333,48.083333333333336,18.122222222222227,1012.8999999999999,7885.0
2019 General Election, Labour Party,5,amber valley,2019-12-12,2018-12-12,9.766666666666667,6.324999999999999,13.108333333333333,48.083333333333336,18.122222222222227,1012.8999999999999,7885.0
2019 General Election, Labour Party,0,amber valley,2019-12-12,2018-12-12,9.766666666666667,6.324999999999999,13.108333333333333,48.083333333333336,18.122222222222227,1012.8999999999999,7885.0
2019 General Election, Labour Party,3,amber valley,2019-12-12,2018-12-12,9.766666666666667,6.324999999999999,13.108333333333333,48.083333333333336,18.122222222222227,1012.8999999999999,7885.0
2019 General Election, Labour Party,6,amber valley,2019-12-12,2018-12-12,9.766666666666667,6.324999999999999,13.108333333333333,48.083333333333336,18.122222222222227,1012.8999999999999,7885.0
2010 General Election, Liberal Democrats,0,aylesbury,2010-05-06,2009-05-06,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2010 General Election, Liberal Democrats,30,aylesbury,2010-05-06,2009-05-06,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2010 General Election, Conservative Party,2,aylesbury,2010-05-06,2009-05-06,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2010 General Election, Conservative Party,1,aylesbury,2010-05-06,2009-05-06,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2010 General Election, Labour Party,1,aylesbury,2010-05-06,2009-05-06,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2010 General Election, UK Independence Party,0,aylesbury,2010-05-06,2009-05-06,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2010 General Election, Liberal Democrats,2,aylesbury,2010-05-06,2009-05-06,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2015 General Election, Labour Party,0,aylesbury,2015-05-07,2014-05-07,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2015 General Election, Liberal Democrats,0,aylesbury,2015-05-07,2014-05-07,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2015 General Election, UK Independence Party,0,aylesbury,2015-05-07,2014-05-07,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2015 General Election, Conservative Party,0,aylesbury,2015-05-07,2014-05-07,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2017 General Election, Liberal Democrats,0,aylesbury,2017-06-08,2016-06-08,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2017 General Election, Green Party,10,aylesbury,2017-06-08,2016-06-08,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2017 General Election, Labour Party,4,aylesbury,2017-06-08,2016-06-08,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2017 General Election, Labour Party,2,aylesbury,2017-06-08,2016-06-08,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2017 General Election, Conservative Party,1,aylesbury,2017-06-08,2016-06-08,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2019 General Election, Green Party,19,aylesbury,2019-12-12,2018-12-12,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2019 General Election, Conservative Party,0,aylesbury,2019-12-12,2018-12-12,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2019 General Election, Labour Party,6,aylesbury,2019-12-12,2018-12-12,10.333333333333334,6.133333333333333,14.25,57.416666666666664,13.925,1013.625,7185.0
2010 General Election, Liberal Democrats,1,bishop auckland,2010-05-06,2009-05-06,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2010 General Election, Liberal Democrats,0,bishop auckland,2010-05-06,2009-05-06,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2010 General Election, Conservative Party,1,bishop auckland,2010-05-06,2009-05-06,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2010 General Election, Labour Party,7,bishop auckland,2010-05-06,2009-05-06,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2010 General Election, Conservative Party,2,bishop auckland,2010-05-06,2009-05-06,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2010 General Election, Liberal Democrats,5,bishop auckland,2010-05-06,2009-05-06,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2015 General Election, UK Independence Party,0,bishop auckland,2015-05-07,2014-05-07,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2015 General Election, Green Party,8,bishop auckland,2015-05-07,2014-05-07,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2019 General Election, Liberal Democrats,3,bishop auckland,2019-12-12,2018-12-12,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2019 General Election, Conservative Party,0,bishop auckland,2019-12-12,2018-12-12,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2019 General Election, Labour Party,0,bishop auckland,2019-12-12,2018-12-12,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2019 General Election, Labour Party,2,bishop auckland,2019-12-12,2018-12-12,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2019 General Election, Labour Party,1,bishop auckland,2019-12-12,2018-12-12,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2019 General Election, Labour Party,3,bishop auckland,2019-12-12,2018-12-12,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2019 General Election, Labour Party,4,bishop auckland,2019-12-12,2018-12-12,9.008333333333333,5.116666666666667,12.841666666666669,59.833333333333336,14.416666666666666,1012.4000000000003,6800.0
2015 General Election, Green Party,10,barnsley central,2015-05-07,2014-05-07,10.000000000000002,5.1875,12.2625,,16.4625,1013.1500000000001,
2010 General Election, Conservative Party,0,blackpool north and cleveleys,2010-05-06,2009-05-06,9.516666666666666,6.233333333333332,11.583333333333334,,17.84,1014.2749999999996,
2010 General Election, Liberal Democrats,0,blackpool north and cleveleys,2010-05-06,2009-05-06,9.516666666666666,6.233333333333332,11.583333333333334,,17.84,1014.2749999999996,
2010 General Election, UK Independence Party,1,blackpool north and cleveleys,2010-05-06,2009-05-06,9.516666666666666,6.233333333333332,11.583333333333334,,17.84,1014.2749999999996,
2010 General Election, UK Independence Party,6,blackpool north and cleveleys,2010-05-06,2009-05-06,9.516666666666666,6.233333333333332,11.583333333333334,,17.84,1014.2749999999996,
2010 General Election, Labour Party,0,blackpool north and cleveleys,2010-05-06,2009-05-06,9.516666666666666,6.233333333333332,11.583333333333334,,17.84,1014.2749999999996,
2010 General Election, UK Independence Party,0,blackpool north and cleveleys,2010-05-06,2009-05-06,9.516666666666666,6.233333333333332,11.583333333333334,,17.84,1014.2749999999996,
2015 General Election, Labour Party,0,blackpool north and cleveleys,2015-05-07,2014-05-07,9.516666666666666,6.233333333333332,11.583333333333334,,17.84,1014.2749999999996,
2010 General Election, Conservative Party,0,barnsley east,2010-05-06,2009-05-06,9.283333333333333,5.875,12.958333333333334,48.083333333333336,15.114285714285714,1012.8916666666668,7885.0
2017 General Election, Conservative Party,0,barnsley east,2017-06-08,2016-06-08,9.283333333333333,5.875,12.958333333333334,48.083333333333336,15.114285714285714,1012.8916666666668,7885.0
2017 General Election, Labour Party,0,barnsley east,2017-06-08,2016-06-08,9.283333333333333,5.875,12.958333333333334,48.083333333333336,15.114285714285714,1012.8916666666668,7885.0
2010 General Election, Liberal Democrats,2,blackpool south,2010-05-06,2009-05-06,9.516666666666667,6.233333333333334,11.583333333333334,,17.84,1014.275,
2017 General Election, UK Independence Party,0,blackpool south,2017-06-08,2016-06-08,9.516666666666667,6.233333333333334,11.583333333333334,,17.84,1014.275,
2010 General Election, Liberal Democrats,5,barrow and furness,2010-05-06,2009-05-06,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2015 General Election, Labour Party,1,barrow and furness,2015-05-07,2014-05-07,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2015 General Election, Liberal Democrats,4,barrow and furness,2015-05-07,2014-05-07,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2015 General Election, Labour Party,0,barrow and furness,2015-05-07,2014-05-07,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2015 General Election, Conservative Party,0,barrow and furness,2015-05-07,2014-05-07,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2015 General Election, Green Party,19,barrow and furness,2015-05-07,2014-05-07,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2015 General Election, UK Independence Party,1,barrow and furness,2015-05-07,2014-05-07,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2019 General Election, Conservative Party,0,barrow and furness,2019-12-12,2018-12-12,9.366666666666665,6.550000000000001,12.11666666666667,59.833333333333336,18.433333333333334,1012.3333333333331,6800.0
2010 General Election, Labour Party,0,bolton north east,2010-05-06,2009-05-06,9.241666666666665,5.508333333333333,12.949999999999994,51.666666666666664,13.980000000000002,1013.0249999999997,6970.0
2010 General Election, Labour Party,2,bolton north east,2010-05-06,2009-05-06,9.241666666666665,5.508333333333333,12.949999999999994,51.666666666666664,13.980000000000002,1013.0249999999997,6970.0
2015 General Election, UK Independence Party,0,bolton north east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.949999999999994,51.666666666666664,13.980000000000002,1013.0249999999997,6970.0
2015 General Election, Liberal Democrats,3,bolton north east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.949999999999994,51.666666666666664,13.980000000000002,1013.0249999999997,6970.0
2015 General Election, Green Party,8,bolton north east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.949999999999994,51.666666666666664,13.980000000000002,1013.0249999999997,6970.0
2010 General Election, Conservative Party,6,basingstoke,2010-05-06,2009-05-06,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2010 General Election, Labour Party,4,basingstoke,2010-05-06,2009-05-06,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2015 General Election, Conservative Party,5,basingstoke,2015-05-07,2014-05-07,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2015 General Election, Conservative Party,4,basingstoke,2015-05-07,2014-05-07,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2015 General Election, Labour Party,7,basingstoke,2015-05-07,2014-05-07,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2017 General Election, Conservative Party,2,basingstoke,2017-06-08,2016-06-08,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2017 General Election, Conservative Party,0,basingstoke,2017-06-08,2016-06-08,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2017 General Election, Labour Party,1,basingstoke,2017-06-08,2016-06-08,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2017 General Election, Labour Party,2,basingstoke,2017-06-08,2016-06-08,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2017 General Election, Liberal Democrats,3,basingstoke,2017-06-08,2016-06-08,10.27777777777778,6.655555555555556,13.88888888888889,,15.444444444444445,1015.4499999999999,
2010 General Election, UK Independence Party,0,bolton south east,2010-05-06,2009-05-06,9.241666666666665,5.508333333333333,12.95,51.666666666666664,13.979999999999999,1013.0250000000001,6970.0
2015 General Election, Green Party,6,bolton south east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.95,51.666666666666664,13.979999999999999,1013.0250000000001,6970.0
2015 General Election, UK Independence Party,1,bolton south east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.95,51.666666666666664,13.979999999999999,1013.0250000000001,6970.0
2015 General Election, Liberal Democrats,3,bolton south east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.95,51.666666666666664,13.979999999999999,1013.0250000000001,6970.0
2015 General Election, UK Independence Party,0,bolton south east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.95,51.666666666666664,13.979999999999999,1013.0250000000001,6970.0
2015 General Election, Conservative Party,1,bolton south east,2015-05-07,2014-05-07,9.241666666666665,5.508333333333333,12.95,51.666666666666664,13.979999999999999,1013.0250000000001,6970.0
